Fast first order indexes
                    	              LAI[1]	              LAI[2]	              LAI[3]	              LAI[4]	              LAI[5]	              LAI[6]	              LAI[7]	              LAI[8]	              LAI[9]	             LAI[10]	             LAI[11]	             LAI[12]	             LAI[13]	             LAI[14]	             LAI[15]	             LAI[16]	             LAI[17]	             LAI[18]	             LAI[19]	             LAI[20]	             LAI[21]	             LAI[22]	             LAI[23]	             LAI[24]	             LAI[25]	             LAI[26]	             LAI[27]	             LAI[28]	             LAI[29]	             LAI[30]	             LAI[31]	             LAI[32]	             LAI[33]	             LAI[34]	             LAI[35]	             LAI[36]	             LAI[37]	             LAI[38]	             LAI[39]	             LAI[40]	             LAI[41]	             LAI[42]	             LAI[43]	             LAI[44]	             LAI[45]	             LAI[46]	             LAI[47]	             LAI[48]	             LAI[49]	             LAI[50]	             LAI[51]	             LAI[52]	             LAI[53]	             LAI[54]	             LAI[55]	             LAI[56]	             LAI[57]	             LAI[58]	             LAI[59]	             LAI[60]	             LAI[61]	             LAI[62]	             LAI[63]	             LAI[64]	             LAI[65]	             LAI[66]	             LAI[67]	             LAI[68]	             LAI[69]	             LAI[70]	             LAI[71]	             LAI[72]	             LAI[73]	             LAI[74]	             LAI[75]	             LAI[76]	             LAI[77]	             LAI[78]	             LAI[79]	             LAI[80]	             LAI[81]	             LAI[82]	             LAI[83]	             LAI[84]	             LAI[85]	             LAI[86]	             LAI[87]	             LAI[88]	             LAI[89]	             LAI[90]	             LAI[91]	             LAI[92]	             LAI[93]	             LAI[94]	             LAI[95]	             LAI[96]	             LAI[97]	             LAI[98]	             LAI[99]	            LAI[100]	            LAI[101]	            LAI[102]	            LAI[103]	            LAI[104]	            LAI[105]	            LAI[106]	            LAI[107]	            LAI[108]	            LAI[109]	            LAI[110]	            LAI[111]	            LAI[112]	            LAI[113]	            LAI[114]	            LAI[115]	            LAI[116]	            LAI[117]	            LAI[118]	            LAI[119]	            LAI[120]	            LAI[121]	            LAI[122]	            LAI[123]	            LAI[124]	            LAI[125]	            LAI[126]	            LAI[127]	            LAI[128]	            LAI[129]	            LAI[130]	
               TSUM2	            0.010933	            0.028644	            0.037996	            0.036071	            0.024156	            0.019467	            0.023247	            0.026829	            0.022409	            0.018106	            0.017293	            0.023282	            0.024117	            0.020836	            0.018428	            0.022164	            0.023634	            0.020496	            0.019071	            0.021502	            0.024981	            0.025137	            0.024706	            0.022441	            0.023303	            0.024300	            0.021593	            0.020784	            0.026610	            0.028483	            0.026985	            0.029587	            0.027326	            0.025427	            0.022681	            0.021459	            0.022512	            0.020399	            0.017316	            0.015584	            0.014593	            0.017251	            0.022129	            0.024996	            0.027290	            0.031540	            0.044665	            0.059377	            0.045353	            0.032109	            0.026289	            0.016600	            0.015489	            0.014056	            0.011263	            0.010552	            0.010962	            0.010720	            0.010292	            0.010036	            0.009986	            0.010018	            0.009911	            0.009840	            0.009856	            0.009892	            0.009883	            0.009984	            0.010043	            0.010083	            0.010142	            0.010255	            0.010342	            0.010442	            0.010603	            0.010813	            0.011005	            0.011201	            0.011551	            0.012198	            0.012811	            0.013498	            0.014394	            0.015407	            0.016470	            0.017482	            0.018589	            0.019709	            0.020736	            0.021744	            0.022909	            0.024014	            0.024621	            0.025869	            0.033119	            0.049852	            0.084301	            0.157193	            0.265593	            0.908539	            0.915565	            0.543862	            0.591411	            0.594605	            0.590186	            0.588266	            0.638462	            0.644923	            0.638472	            0.636090	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	            0.632430	
                TDWI	            0.927103	            0.877274	            0.821530	            0.783029	            0.761150	            0.724592	            0.688944	            0.687980	            0.696624	            0.671243	            0.617183	            0.608563	            0.652000	            0.693662	            0.716560	            0.783803	            0.828007	            0.822392	            0.789728	            0.752609	            0.691611	            0.664596	            0.678729	            0.657851	            0.659963	            0.567321	            0.464165	            0.404185	            0.451734	            0.411200	            0.267673	            0.268703	            0.265472	            0.173342	            0.098486	            0.101958	            0.099784	            0.068616	            0.064209	            0.065935	            0.050582	            0.041678	            0.038424	            0.035480	            0.032091	            0.034267	            0.036310	            0.034494	            0.033265	            0.031825	            0.024775	            0.024422	            0.027623	            0.027334	            0.023786	            0.022535	            0.024651	            0.024978	            0.025300	            0.024478	            0.024258	            0.025406	            0.025052	            0.022860	            0.021611	            0.020733	            0.019942	            0.020077	            0.019471	            0.018555	            0.018527	            0.018586	            0.018535	            0.018381	            0.018152	            0.018096	            0.018042	            0.018231	            0.018424	            0.018855	            0.018926	            0.018978	            0.019479	            0.020435	            0.021517	            0.022860	            0.023697	            0.023470	            0.023252	            0.023257	            0.024165	            0.025003	            0.030065	            0.790789	            0.817671	            0.842294	            0.864047	            0.882087	            0.896257	            0.908909	            0.920133	            0.024855	            0.025246	            0.025864	            0.018670	            0.017981	            0.017981	            0.017572	            0.017788	            0.018197	            0.018905	            0.016777	            0.016660	            0.016954	            0.015602	            0.015026	            0.015021	            0.015364	            0.015425	            0.015081	            0.015112	            0.015245	            0.015245	            0.015245	            0.015245	            0.015245	            0.015245	            0.015245	            0.015245	            0.015245	
              RGRLAI	            0.011408	            0.114155	            0.257133	            0.368337	            0.448998	            0.496823	            0.502346	            0.519972	            0.537633	            0.544529	            0.517878	            0.515596	            0.533343	            0.538124	            0.530147	            0.533464	            0.541305	            0.535110	            0.529957	            0.537033	            0.535668	            0.533010	            0.543658	            0.529478	            0.525230	            0.506282	            0.485708	            0.464955	            0.485844	            0.467868	            0.410318	            0.415624	            0.421806	            0.378731	            0.325910	            0.324703	            0.323944	            0.297270	            0.260736	            0.232376	            0.200960	            0.172904	            0.167934	            0.175769	            0.177953	            0.233433	            0.346280	            0.448667	            0.361277	            0.191200	            0.128065	            0.070720	            0.042389	            0.026308	            0.019061	            0.016992	            0.016446	            0.016094	            0.016432	            0.017057	            0.017417	            0.018416	            0.019702	            0.019894	            0.020443	            0.021760	            0.022813	            0.023622	            0.024629	            0.026318	            0.027725	            0.028738	            0.029506	            0.030379	            0.030625	            0.030655	            0.030905	            0.031052	            0.031098	            0.030622	            0.030388	            0.030369	            0.030383	            0.029870	            0.029372	            0.028782	            0.028133	            0.027315	            0.026712	            0.026119	            0.024893	            0.023593	            0.022597	            0.021723	            0.020456	            0.019078	            0.018010	            0.016895	            0.017359	            0.525427	            0.552369	            0.145395	            0.120368	            0.122156	            0.136253	            0.131476	            0.124205	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	            0.128533	
              SLATB3	            0.016186	            0.025872	            0.035401	            0.040335	            0.032308	            0.029301	            0.046900	            0.068744	            0.064231	            0.048378	            0.052114	            0.076460	            0.082303	            0.074253	            0.073969	            0.130223	            0.171945	            0.151275	            0.116878	            0.119450	            0.156782	            0.167609	            0.200134	            0.150159	            0.138492	            0.118791	            0.103564	            0.096141	            0.095237	            0.100320	            0.087556	            0.081368	            0.071130	            0.063261	            0.062772	            0.058213	            0.051124	            0.048709	            0.049892	            0.052723	            0.054449	            0.058066	            0.062229	            0.070295	            0.075637	            0.089286	            0.101709	            0.115685	            0.132632	            0.154274	            0.182721	            0.202116	            0.225174	            0.252987	            0.262115	            0.238393	            0.210090	            0.185716	            0.161483	            0.136503	            0.119341	            0.107161	            0.094576	            0.083206	            0.073347	            0.068025	            0.063347	            0.057614	            0.051566	            0.047230	            0.043555	            0.039727	            0.036354	            0.033022	            0.029863	            0.027032	            0.024764	            0.022960	            0.021307	            0.019918	            0.019078	            0.018622	            0.018183	            0.017690	            0.016952	            0.016372	            0.016054	            0.015746	            0.015457	            0.015026	            0.014832	            0.669657	            0.673501	            0.738162	            0.740844	            0.738323	            0.732983	            0.724259	            0.714048	            0.745791	            0.736503	            0.017814	            0.024814	            0.027991	            0.014982	            0.014996	            0.014996	            0.014882	            0.015182	            0.015327	            0.015327	            0.013891	            0.014304	            0.013459	            0.013539	            0.013500	            0.013822	            0.014349	            0.013825	            0.013791	            0.013852	            0.013852	            0.013852	            0.013852	            0.013852	            0.013852	            0.013852	            0.013852	            0.013852	            0.013852	
              SLATB9	            0.011316	            0.036755	            0.062276	            0.067112	            0.042697	            0.031463	            0.041543	            0.043737	            0.031329	            0.021906	            0.023326	            0.030850	            0.030795	            0.021079	            0.016997	            0.026096	            0.031565	            0.026195	            0.017885	            0.019200	            0.023172	            0.024991	            0.024516	            0.021000	            0.023473	            0.025993	            0.022389	            0.017508	            0.020778	            0.024906	            0.023728	            0.026611	            0.022624	            0.017259	            0.017387	            0.018048	            0.016473	            0.014371	            0.013573	            0.014467	            0.014196	            0.014272	            0.015540	            0.016548	            0.018263	            0.023113	            0.027228	            0.030864	            0.025342	            0.027530	            0.044584	            0.040765	            0.033033	            0.025839	            0.015791	            0.015538	            0.015492	            0.013689	            0.012680	            0.012899	            0.012662	            0.012269	            0.011885	            0.011356	            0.011102	            0.011138	            0.011172	            0.011267	            0.011406	            0.011699	            0.011649	            0.011560	            0.011537	            0.011568	            0.011576	            0.011631	            0.011515	            0.011439	            0.011255	            0.011185	            0.011254	            0.011400	            0.011596	            0.011984	            0.012054	            0.011933	            0.011849	            0.011968	            0.012281	            0.012531	            0.012730	            0.012693	            0.012421	            0.012238	            0.012236	            0.012219	            0.012235	            0.012205	            0.013883	            0.840074	            0.860520	            0.281791	            0.176045	            0.119690	            0.104979	            0.105961	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	            0.105024	
                SPAN	            0.010102	            0.028234	            0.036912	            0.038222	            0.027762	            0.021557	            0.021317	            0.024628	            0.019931	            0.017260	            0.018762	            0.020684	            0.021616	            0.019277	            0.013829	            0.015450	            0.017483	            0.015850	            0.014370	            0.014252	            0.015864	            0.017197	            0.019674	            0.020183	            0.019953	            0.021256	            0.017465	            0.015414	            0.016189	            0.015887	            0.016239	            0.020652	            0.020925	            0.016596	            0.015234	            0.016138	            0.015521	            0.013965	            0.013994	            0.013976	            0.013552	            0.014192	            0.015292	            0.014747	            0.015062	            0.019720	            0.025679	            0.029968	            0.021111	            0.015926	            0.015361	            0.014164	            0.013318	            0.012492	            0.011069	            0.010555	            0.010906	            0.010720	            0.010256	            0.010003	            0.009810	            0.009808	            0.009849	            0.009874	            0.009816	            0.009780	            0.009834	            0.009924	            0.009906	            0.009891	            0.009943	            0.009979	            0.009996	            0.009983	            0.009986	            0.009979	            0.010011	            0.010019	            0.010018	            0.010022	            0.010056	            0.010119	            0.010199	            0.010267	            0.010338	            0.010366	            0.010444	            0.010532	            0.010631	            0.010712	            0.010809	            0.010897	            0.010995	            0.011063	            0.011089	            0.011196	            0.011278	            0.383643	            0.408729	            0.567581	            0.596054	            0.081111	            0.072457	            0.082892	            0.073593	            0.081972	            0.073272	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	            0.074609	
               TBASE	            0.009952	            0.040333	            0.066678	            0.090259	            0.130862	            0.158366	            0.169106	            0.198428	            0.233663	            0.260298	            0.264115	            0.273228	            0.305034	            0.308811	            0.299820	            0.312014	            0.321530	            0.314747	            0.311162	            0.318344	            0.316139	            0.324542	            0.317094	            0.305891	            0.314788	            0.302118	            0.278302	            0.264121	            0.275045	            0.252884	            0.203152	            0.202381	            0.213727	            0.183016	            0.149896	            0.147221	            0.139561	            0.116014	            0.104476	            0.104966	            0.096825	            0.085668	            0.083286	            0.082941	            0.069865	            0.061387	            0.061521	            0.065807	            0.062876	            0.053178	            0.055741	            0.057991	            0.051667	            0.048041	            0.050288	            0.045590	            0.039412	            0.036481	            0.034880	            0.032619	            0.028931	            0.025559	            0.024351	            0.025462	            0.025111	            0.024206	            0.024250	            0.024107	            0.023743	            0.023183	            0.022638	            0.021695	            0.021091	            0.020507	            0.019935	            0.019431	            0.018902	            0.018473	            0.018318	            0.018113	            0.017648	            0.017449	            0.017467	            0.017326	            0.017054	            0.017020	            0.016943	            0.016605	            0.016478	            0.016615	            0.016661	            0.016689	            0.016691	            0.016687	            0.017140	            0.570989	            0.582014	            0.589629	            0.590125	            0.670697	            0.663139	            0.040580	            0.024581	            0.024021	            0.022359	            0.023957	            0.020248	            0.020248	            0.019526	            0.018850	            0.018229	            0.018674	            0.017297	            0.017297	            0.017571	            0.018189	            0.018447	            0.018447	            0.018447	            0.018447	            0.018447	            0.018447	            0.018447	            0.018447	            0.018447	            0.018447	            0.018447	            0.018447	            0.018447	            0.018447	
             KDIFTB3	            0.009750	            0.021252	            0.027010	            0.027428	            0.021066	            0.017492	            0.021631	            0.025687	            0.021830	            0.018177	            0.018886	            0.022698	            0.024322	            0.021617	            0.016591	            0.027658	            0.032860	            0.026612	            0.020706	            0.020855	            0.022590	            0.027107	            0.032014	            0.025126	            0.029725	            0.030054	            0.024883	            0.026190	            0.037789	            0.045109	            0.032156	            0.030974	            0.029828	            0.022181	            0.021711	            0.023394	            0.019485	            0.016012	            0.016721	            0.018153	            0.017728	            0.021463	            0.026879	            0.027948	            0.023773	            0.022902	            0.024717	            0.026257	            0.026083	            0.029809	            0.029962	            0.025201	            0.027668	            0.031327	            0.031856	            0.026522	            0.023200	            0.022554	            0.023084	            0.021081	            0.019911	            0.018824	            0.017464	            0.016190	            0.015735	            0.015072	            0.014520	            0.014086	            0.013966	            0.013622	            0.013425	            0.013092	            0.012930	            0.012846	            0.012413	            0.012075	            0.011919	            0.011779	            0.011559	            0.011377	            0.011336	            0.011244	            0.011232	            0.011249	            0.011339	            0.011419	            0.011367	            0.011405	            0.012652	            0.013662	            0.014049	            0.013498	            0.012847	            0.012933	            0.012816	            0.334897	            0.321197	            0.309908	            0.300909	            0.292579	            0.284914	            0.016624	            0.016109	            0.015158	            0.014454	            0.014454	            0.015531	            0.015531	            0.014630	            0.014630	            0.014598	            0.014571	            0.014815	            0.014271	            0.014161	            0.013646	            0.013739	            0.013739	            0.014197	            0.012624	            0.012550	            0.012550	            0.012451	            0.012559	            0.012559	            0.012723	            0.012629	            0.012629	            0.012598	            0.012450	
             KDIFTB7	            0.009795	            0.016076	            0.021007	            0.020348	            0.015937	            0.013794	            0.017324	            0.019259	            0.017576	            0.014156	            0.013563	            0.015063	            0.015681	            0.014751	            0.015231	            0.019772	            0.022213	            0.019256	            0.015032	            0.017980	            0.019238	            0.020649	            0.023775	            0.019206	            0.018941	            0.021381	            0.020181	            0.019421	            0.019277	            0.021574	            0.019970	            0.018447	            0.017094	            0.016415	            0.015573	            0.015494	            0.015841	            0.012635	            0.011839	            0.012822	            0.013338	            0.014724	            0.014890	            0.013332	            0.012601	            0.013977	            0.014276	            0.015237	            0.014309	            0.014385	            0.014515	            0.014018	            0.013820	            0.015679	            0.018804	            0.022129	            0.022446	            0.026122	            0.033960	            0.035813	            0.034378	            0.034075	            0.035154	            0.033730	            0.031014	            0.028761	            0.029895	            0.030384	            0.031699	            0.033310	            0.035852	            0.036920	            0.037922	            0.039097	            0.041404	            0.043286	            0.046013	            0.049228	            0.054172	            0.058929	            0.064672	            0.071860	            0.078911	            0.085643	            0.093145	            0.101482	            0.109653	            0.117364	            0.126325	            0.136916	            0.148703	            0.160530	            0.173077	            0.188780	            0.206244	            0.223990	            0.241232	            0.253900	            0.268140	            0.271253	            0.253683	            0.211025	            0.168355	            0.132755	            0.157930	            0.155474	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	            0.152934	
              EFFTB1	            0.009886	            0.016966	            0.022250	            0.025191	            0.021518	            0.017560	            0.020929	            0.026081	            0.023850	            0.019802	            0.020571	            0.027834	            0.035870	            0.035470	            0.025694	            0.052478	            0.082285	            0.072641	            0.057268	            0.064693	            0.075652	            0.077519	            0.094850	            0.086761	            0.117790	            0.118212	            0.095632	            0.106917	            0.172295	            0.244918	            0.203410	            0.259447	            0.283494	            0.185018	            0.115561	            0.165054	            0.191386	            0.127347	            0.085137	            0.083008	            0.067860	            0.058614	            0.069820	            0.095585	            0.103834	            0.114210	            0.109667	            0.095364	            0.062859	            0.040009	            0.035664	            0.026677	            0.018567	            0.018146	            0.018100	            0.016433	            0.015620	            0.017087	            0.020334	            0.021088	            0.020912	            0.023681	            0.027281	            0.027796	            0.029532	            0.032442	            0.037175	            0.040018	            0.043933	            0.050639	            0.058341	            0.064292	            0.070951	            0.078896	            0.083930	            0.085428	            0.088444	            0.092429	            0.093922	            0.096133	            0.099759	            0.104538	            0.109357	            0.115887	            0.117916	            0.119612	            0.118790	            0.114051	            0.110779	            0.110534	            0.110101	            0.107122	            0.106497	            0.109308	            0.112061	            0.755685	            0.784667	            0.839570	            0.861706	            0.879747	            0.893788	            0.025267	            0.023125	            0.023474	            0.021221	            0.019205	            0.018375	            0.019013	            0.018724	            0.019700	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	            0.019968	
              EFFTB3	            0.010527	            0.032984	            0.044259	            0.037901	            0.021871	            0.016438	            0.021397	            0.022226	            0.017157	            0.013640	            0.014951	            0.018838	            0.018272	            0.016013	            0.015015	            0.018842	            0.024141	            0.022223	            0.017946	            0.018274	            0.019712	            0.023308	            0.028206	            0.025917	            0.028600	            0.029350	            0.027324	            0.028415	            0.026931	            0.028841	            0.037639	            0.031062	            0.023824	            0.034666	            0.041666	            0.034373	            0.030198	            0.040694	            0.058538	            0.053202	            0.050893	            0.066052	            0.069724	            0.060553	            0.069902	            0.078522	            0.085875	            0.079024	            0.063170	            0.051942	            0.032843	            0.019464	            0.016552	            0.014205	            0.012494	            0.011402	            0.011382	            0.011840	            0.012047	            0.012537	            0.013598	            0.014597	            0.015377	            0.016929	            0.018301	            0.019329	            0.019960	            0.021073	            0.022500	            0.023912	            0.025348	            0.027221	            0.029275	            0.031170	            0.033161	            0.035232	            0.037600	            0.039670	            0.041866	            0.044378	            0.046210	            0.047664	            0.050148	            0.052830	            0.054524	            0.055710	            0.056293	            0.057699	            0.058819	            0.059608	            0.060330	            0.060099	            0.058673	            0.057182	            0.066384	            0.773774	            0.799564	            0.852942	            0.872988	            0.891296	            0.907482	            0.043881	            0.027131	            0.024183	            0.025571	            0.026299	            0.019647	            0.019647	            0.019269	            0.018196	            0.017478	            0.017478	            0.018666	            0.018202	            0.018409	            0.018863	            0.018863	            0.019343	            0.019343	            0.019343	            0.019343	            0.019343	            0.019343	            0.019343	            0.019343	            0.019343	            0.019343	            0.019343	            0.019343	            0.019343	
             AMAXTB5	            0.010955	            0.023946	            0.026498	            0.021598	            0.014467	            0.012869	            0.016841	            0.018400	            0.015506	            0.012191	            0.012386	            0.014468	            0.014898	            0.013969	            0.014074	            0.018102	            0.021161	            0.019463	            0.015026	            0.015577	            0.017352	            0.021366	            0.024928	            0.020240	            0.019586	            0.023284	            0.021215	            0.020767	            0.017790	            0.020153	            0.020778	            0.020594	            0.020214	            0.019696	            0.021334	            0.020205	            0.021001	            0.017583	            0.016461	            0.020226	            0.024313	            0.026175	            0.028146	            0.025447	            0.023059	            0.028454	            0.029643	            0.029573	            0.022112	            0.020323	            0.018356	            0.016258	            0.015140	            0.015598	            0.015299	            0.014709	            0.014207	            0.014848	            0.015385	            0.015371	            0.015306	            0.014684	            0.014588	            0.015046	            0.014999	            0.014411	            0.014540	            0.015350	            0.015844	            0.016594	            0.017289	            0.018124	            0.018330	            0.017823	            0.017704	            0.017776	            0.017953	            0.017617	            0.017385	            0.017718	            0.017498	            0.018300	            0.018941	            0.018803	            0.018481	            0.018585	            0.019560	            0.020506	            0.021422	            0.021988	            0.022879	            0.023691	            0.025276	            0.026981	            0.027733	            0.028932	            0.029451	            0.030553	            0.031687	            0.032858	            0.051195	            0.354842	            0.314521	            0.310953	            0.350339	            0.712016	            0.555017	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	            0.183737	
             AMAXTB9	            0.010089	            0.019302	            0.027416	            0.028815	            0.021823	            0.019066	            0.024482	            0.027698	            0.021897	            0.017522	            0.021653	            0.029343	            0.030558	            0.021286	            0.016373	            0.026730	            0.034938	            0.027064	            0.019043	            0.018339	            0.020559	            0.025515	            0.025694	            0.020147	            0.022063	            0.027258	            0.022407	            0.018394	            0.023401	            0.026969	            0.024633	            0.025929	            0.021897	            0.015872	            0.015865	            0.016702	            0.014547	            0.012223	            0.012711	            0.013202	            0.013747	            0.013858	            0.015045	            0.016124	            0.015910	            0.015577	            0.014446	            0.013719	            0.012358	            0.012740	            0.014277	            0.014647	            0.013407	            0.012602	            0.015090	            0.017164	            0.016915	            0.015897	            0.017265	            0.017529	            0.015767	            0.016406	            0.017461	            0.017757	            0.017744	            0.018522	            0.019446	            0.019720	            0.020445	            0.020736	            0.020944	            0.020528	            0.019889	            0.019161	            0.018193	            0.017237	            0.016748	            0.016499	            0.016127	            0.016125	            0.016643	            0.016865	            0.016980	            0.017392	            0.017864	            0.018245	            0.019141	            0.020444	            0.021384	            0.022079	            0.023027	            0.023854	            0.024743	            0.025780	            0.027341	            0.028917	            0.030077	            0.691209	            0.689082	            0.769325	            0.761192	            0.041058	            0.033123	            0.037204	            0.026420	            0.025398	            0.025670	            0.028706	            0.030463	            0.030463	            0.023846	            0.022988	            0.021993	            0.021366	            0.021465	            0.021465	            0.022788	            0.022320	            0.022992	            0.022992	            0.023816	            0.023816	            0.023816	            0.023816	            0.023816	            0.023816	            0.023816	            0.023816	            0.023816	            0.023816	
            AMAXTB11	            0.009903	            0.016821	            0.022841	            0.024130	            0.018454	            0.014314	            0.017897	            0.021967	            0.019004	            0.015075	            0.015237	            0.018362	            0.021154	            0.020035	            0.016831	            0.024764	            0.033587	            0.030138	            0.025107	            0.025658	            0.027849	            0.031151	            0.038976	            0.032615	            0.033796	            0.036405	            0.038759	            0.044097	            0.043077	            0.057651	            0.051538	            0.056319	            0.071164	            0.064834	            0.068234	            0.085563	            0.084099	            0.061906	            0.059409	            0.073487	            0.073820	            0.062428	            0.062266	            0.050821	            0.039825	            0.062543	            0.075860	            0.057501	            0.042849	            0.045245	            0.051563	            0.043762	            0.028075	            0.026596	            0.028972	            0.030434	            0.029793	            0.028956	            0.029803	            0.031236	            0.031614	            0.031170	            0.030902	            0.030325	            0.027801	            0.025022	            0.024049	            0.023856	            0.024097	            0.023488	            0.022872	            0.022966	            0.023014	            0.022076	            0.020660	            0.019471	            0.019431	            0.019660	            0.019751	            0.019149	            0.019118	            0.018686	            0.018333	            0.018355	            0.018691	            0.018856	            0.018873	            0.018965	            0.019526	            0.019902	            0.020983	            0.022201	            0.024166	            0.025952	            0.026924	            0.746170	            0.773892	            0.827664	            0.844134	            0.906311	            0.907370	            0.049259	            0.039092	            0.035425	            0.032926	            0.028828	            0.027501	            0.026859	            0.029288	            0.031717	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	            0.031471	
             TMPFTB1	            0.011952	            0.050793	            0.085599	            0.100491	            0.079309	            0.062385	            0.096927	            0.129995	            0.099262	            0.064485	            0.082792	            0.112197	            0.100395	            0.068279	            0.039663	            0.074718	            0.089985	            0.061527	            0.035450	            0.034197	            0.040734	            0.040040	            0.040166	            0.032955	            0.036546	            0.039755	            0.030615	            0.024327	            0.032766	            0.039394	            0.034870	            0.035114	            0.030137	            0.020303	            0.019556	            0.020461	            0.017123	            0.014195	            0.014283	            0.014810	            0.016118	            0.016945	            0.022389	            0.025227	            0.020519	            0.020303	            0.019273	            0.020308	            0.017396	            0.017646	            0.015677	            0.012827	            0.012960	            0.015046	            0.017257	            0.016932	            0.015079	            0.014389	            0.014735	            0.014714	            0.014358	            0.014213	            0.014510	            0.014470	            0.014041	            0.013990	            0.013917	            0.013702	            0.013913	            0.014071	            0.014259	            0.014380	            0.014551	            0.014589	            0.014487	            0.014371	            0.014319	            0.014368	            0.014566	            0.015095	            0.015507	            0.015837	            0.015834	            0.015656	            0.015473	            0.015563	            0.015677	            0.015829	            0.015876	            0.016087	            0.016306	            0.015695	            0.016286	            0.755443	            0.783264	            0.800641	            0.804745	            0.880994	            0.874776	            0.827928	            0.823560	            0.023097	            0.021294	            0.020558	            0.019508	            0.018327	            0.018228	            0.018624	            0.017843	            0.017843	            0.017843	            0.017631	            0.017094	            0.016458	            0.016041	            0.016041	            0.016043	            0.016043	            0.015869	            0.015713	            0.015713	            0.016277	            0.016929	            0.016929	            0.016929	            0.016929	            0.016929	            0.016929	            0.016929	            0.016929	
             TMPFTB3	            0.010693	            0.028082	            0.038022	            0.039251	            0.025889	            0.020993	            0.028915	            0.033032	            0.025577	            0.018590	            0.021046	            0.027778	            0.027596	            0.020204	            0.016081	            0.024231	            0.029075	            0.024603	            0.016876	            0.017770	            0.021795	            0.023377	            0.024350	            0.020702	            0.022550	            0.026246	            0.024860	            0.020317	            0.022519	            0.026211	            0.024775	            0.027775	            0.023923	            0.019754	            0.019675	            0.018557	            0.017155	            0.014466	            0.015250	            0.016527	            0.015807	            0.015562	            0.015655	            0.015949	            0.016727	            0.018641	            0.021326	            0.026406	            0.021396	            0.020747	            0.022532	            0.023222	            0.026353	            0.028541	            0.023971	            0.026372	            0.028124	            0.023286	            0.020146	            0.017937	            0.016340	            0.015510	            0.014972	            0.014627	            0.014657	            0.014614	            0.014529	            0.014300	            0.015148	            0.015141	            0.014858	            0.014574	            0.014168	            0.013745	            0.013341	            0.012977	            0.012713	            0.012609	            0.012486	            0.012591	            0.012791	            0.012570	            0.012229	            0.011902	            0.011829	            0.012136	            0.012291	            0.012219	            0.011833	            0.011519	            0.011403	            0.011541	            0.014631	            0.657658	            0.652641	            0.769339	            0.753659	            0.736043	            0.718486	            0.699927	            0.681165	            0.022882	            0.020540	            0.020540	            0.020306	            0.019235	            0.018764	            0.019369	            0.019129	            0.016808	            0.016543	            0.016227	            0.016236	            0.016273	            0.016726	            0.017103	            0.017103	            0.017103	            0.017103	            0.017103	            0.017103	            0.017103	            0.017103	            0.017103	            0.017103	            0.017103	            0.017103	            0.017103	            0.017103	            0.017103	
